county,fips,collection_week,inpatient_beds,inpatient_beds_occupied,inpatient_percent_occupied,icu_beds,icu_beds_occupied,icu_percent_occupied
montgomery,24031,2020-10-23,1245.6,1014.4,0.8143866409762364,132.7,103.2,0.7776940467219292
prince_georges,24033,2020-10-23,842.6,692.8,0.8222169475433182,135.3,107.8,0.7967479674796747
queen_annes,24035,2020-10-23,NA,NA,NA,NA,NA,NA
st_marys,24037,2020-10-23,106.7,92,0.8622305529522024,9.3,8.3,0.8924731182795699
somerset,24039,2020-10-23,NA,NA,NA,NA,NA,NA
talbot,24041,2020-10-23,87.6,66.7,0.7614155251141553,8,4.1,0.5125
washington,24043,2020-10-23,208.6,189.3,0.9074784276126558,24,17.9,0.7458333333333332
wicomico,24045,2020-10-23,344,236.1,0.6863372093023256,81,33.6,0.41481481481481486
worcester,24047,2020-10-23,53.7,39,0.7262569832402235,8,6.4,0.8
baltimore_city,24510,2020-10-23,3200.8,2553.7,0.797831792051987,519.6,434.7,0.8366050808314087
allegany,24001,2020-10-30,171,158,0.9239766081871345,28,12,0.42857142857142855
anne_arundel,24003,2020-10-30,612.3,555.2,0.9067450596113018,69.6,53.400000000000006,0.767241379310345
baltimore,24005,2020-10-30,837.9,747.1,0.8916338465210646,103.9,81.3,0.7824831568816168
calvert,24009,2020-10-30,51.5,44.3,0.8601941747572815,5.7,5.3,0.9298245614035087
caroline,24011,2020-10-30,NA,NA,NA,NA,NA,NA
carroll,24013,2020-10-30,130,112.4,0.8646153846153847,12,9.6,0.7999999999999999
cecil,24015,2020-10-30,NA,NA,NA,NA,NA,NA
charles,24017,2020-10-30,116.9,71.7,0.613344739093242,8.3,7.1,0.8554216867469878
dorchester,24019,2020-10-30,NA,NA,NA,NA,NA,NA
frederick,24021,2020-10-30,238,171.4,0.7201680672268908,19,11.4,0.6
garrett,24023,2020-10-30,NA,NA,NA,NA,NA,NA
harford,24025,2020-10-30,216.3,200.39999999999998,0.9264909847434117,30.6,24.3,0.7941176470588235
howard,24027,2020-10-30,305.6,202.1,0.6613219895287957,33.6,22.6,0.6726190476190477
