county,fips,date,cases,deaths,prob_deaths,new_cases,new_deaths,new_prob_deaths,population,cases_per_100k,deaths_per_100k,prob_deaths_per_100k
queen_annes,24035,2020-04-15,19,1,0,0,1,0,49355,38.49660622024111,2.026137169486374,0
somerset,24039,2020-04-15,5,0,0,0,0,0,25737,19.427283677196254,0,0
st_marys,24037,2020-04-15,99,1,0,1,0,0,111531,88.7645587325497,0.8966117043691888,0
talbot,24041,2020-04-15,14,1,0,0,0,0,37211,37.62328343769315,2.6873773884066536,0
washington,24043,2020-04-15,106,0,0,10,0,0,149811,70.75581899860491,0,0
wicomico,24045,2020-04-15,76,1,0,13,0,0,102172,74.38437145206123,0.9787417296323847,0
worcester,24047,2020-04-15,22,0,0,1,0,0,51564,42.665425490652396,0,0
allegany,24001,2020-04-16,20,1,0,3,0,0,71977,27.786654070050155,1.3893327035025076,0
anne_arundel,24003,2020-04-16,896,29,6,51,4,1,567696,157.8309517770074,5.108367858854034,1.0569036949353177
baltimore,24005,2020-04-16,1516,31,6,31,4,1,827625,183.1747470170669,3.745657755626038,0.7249660172179428
baltimore_city,24510,2020-04-16,1160,31,4,100,6,2,614700,188.70993980803644,5.04311046038718,0.6507239303725395
calvert,24009,2020-04-16,103,1,0,1,0,0,91082,113.0849124964318,1.0979117718100173,0
caroline,24011,2020-04-16,23,0,0,1,0,0,32875,69.96197718631178,0,0
carroll,24013,2020-04-16,283,21,2,21,1,0,167522,168.9330356609878,12.535666957175774,1.19387304354055
cecil,24015,2020-04-16,101,2,0,11,0,0,102517,98.52024542271037,1.950895948964562,0
charles,24017,2020-04-16,327,13,0,17,2,0,157671,207.39387712388452,8.245016521744645,0
dorchester,24019,2020-04-16,18,1,0,2,0,0,32261,55.79492266203776,3.099717925668764,0
frederick,24021,2020-04-16,497,22,7,55,2,0,248472,200.02253775073248,8.854116359187353,2.817218841559612
garrett,24023,2020-04-16,4,0,0,0,0,0,29376,13.616557734204795,0,0
harford,24025,2020-04-16,161,0,4,9,0,1,251025,64.13703814361119,0,1.5934667861766756
howard,24027,2020-04-16,451,10,1,27,1,0,315327,143.02612843175498,3.1713110517018843,0.3171311051701884
kent,24029,2020-04-16,11,1,0,0,0,0,19593,56.142499872403405,5.103863624763946,0
montgomery,24031,2020-04-16,2133,56,14,200,12,0,1040133,205.06992855721336,5.383926863199225,1.3459817157998062
prince_georges,24033,2020-04-16,2722,70,10,206,5,0,906202,300.3745301820124,7.724547065665272,1.1035067236664673
