date,zip,cases,new_cases,population,cases_per_100k
2020-10-05,21623,18,0,2000,899.9999999999999
2020-10-05,21625,24,1,2720,882.3529411764706
2020-10-05,21626,0,0,83,0
2020-10-05,21627,0,0,17,0
2020-10-05,21629,174,0,9726,1789.0191239975325
2020-10-05,21631,40,0,2694,1484.7809948032664
2020-10-05,21632,140,0,6065,2308.3264633140975
2020-10-05,21634,60,0,200,30000
2020-10-05,21635,25,0,1912,1307.531380753138
2020-10-05,21636,20,0,1147,1743.6791630340017
2020-10-05,21638,107,1,5210,2053.742802303263
2020-10-05,21639,56,1,4639,1207.156714809226
2020-10-05,21640,42,1,1440,2916.6666666666665
2020-10-05,21641,0,0,102,0
2020-10-05,21643,78,0,6015,1296.7581047381545
2020-10-05,21644,0,0,77,0
2020-10-05,21645,13,0,1418,916.7842031029619
2020-10-05,21647,0,0,217,0
2020-10-05,21648,0,0,256,0
2020-10-05,21649,147,0,2131,6898.169873298921
2020-10-05,21650,8,0,290,2758.6206896551726
2020-10-05,21651,35,0,2735,1279.707495429616
2020-10-05,21652,0,0,138,0
2020-10-05,21654,15,0,960,1562.5
2020-10-05,21655,45,0,4966,906.1619009262988
2020-10-05,21657,12,0,853,1406.799531066823
2020-10-05,21658,64,0,3840,1666.6666666666667
2020-10-05,21659,11,0,1355,811.8081180811807
2020-10-05,21660,58,0,3881,1494.460190672507
2020-10-05,21661,24,0,2502,959.2326139088728
2020-10-05,21662,0,0,455,0
2020-10-05,21663,22,0,3356,655.5423122765196
2020-10-05,21665,0,0,263,0
2020-10-05,21666,121,1,12363,978.7268462347328
2020-10-05,21667,0,0,235,0
2020-10-05,21668,39,0,1815,2148.7603305785124
2020-10-05,21669,0,0,231,0
2020-10-05,21671,0,0,799,0
2020-10-05,21672,0,0,139,0
2020-10-05,21673,36,0,3423,1051.70902716915
2020-10-05,21675,0,0,108,0
2020-10-05,21676,0,0,490,0
2020-10-05,21677,0,0,353,0
2020-10-05,21678,26,0,1771,1468.0971202710334
2020-10-05,21679,0,0,257,0
2020-10-05,21701,648,0,37185,1742.6381605486083
2020-10-05,21702,1031,1,42028,2453.1264871038356
2020-10-05,21703,1024,11,36265,2823.6591755135805
2020-10-05,21704,235,4,16518,1422.6903983533116
2020-10-05,21705,0,0,0,NaN
2020-10-05,21710,58,0,4881,1188.2810899405858
2020-10-05,21711,12,0,1106,1084.99095840868
2020-10-05,21713,169,0,10379,1628.287889006648
2020-10-05,21716,64,4,5311,1205.0461306721897
2020-10-05,21717,0,0,77,0
2020-10-05,21718,0,0,140,0
2020-10-05,21719,10,0,1036,965.2509652509652
2020-10-05,21722,47,0,5667,829.3629786483148
2020-10-05,21723,12,0,893,1343.7849944008958
2020-10-05,21727,67,0,6833,980.5356358846773
2020-10-05,21733,0,0,911,0
2020-10-05,21734,0,0,695,0
2020-10-05,21737,24,0,2304,1041.6666666666665
2020-10-05,21738,41,1,3416,1200.2341920374706
2020-10-05,21740,765,1,61803,1237.8039900975682
2020-10-05,21742,373,0,33180,1124.1711874623268
2020-10-05,21746,190,0,2953,6434.134778191669
2020-10-05,21750,29,0,3732,777.0632368703108
2020-10-05,21754,93,0,6689,1390.3423531170579
2020-10-05,21755,71,0,5581,1272.1734456190645
2020-10-05,21756,30,0,3600,833.3333333333334
2020-10-05,21757,45,0,3192,1409.7744360902254
2020-10-05,21758,37,0,4912,753.257328990228
2020-10-05,21762,0,0,167,0
2020-10-05,21766,0,0,528,0
2020-10-05,21767,11,0,1019,1079.4896957801766
2020-10-05,21769,90,2,11189,804.3614264009294
2020-10-05,21770,89,0,5453,1632.1291032459196
2020-10-05,21771,415,3,29265,1418.0762002391934
2020-10-05,21773,40,0,5494,728.066982162359
2020-10-05,21774,160,1,12734,1256.4787183917072
2020-10-05,21776,50,0,5607,891.7424647761726
2020-10-05,21777,16,0,1951,820.0922603792926
2020-10-05,21778,15,0,940,1595.7446808510638
