date,county,fips,daily,average
2020-04-03,prince_georges,24033,0.3012,0.271
2020-04-03,queen_annes,24035,0.29410000000000003,0.0967
2020-04-03,somerset,24039,0,0.1333
2020-04-03,st_marys,24037,0.17859999999999998,0.1002
2020-04-03,talbot,24041,0.1,0.07690000000000001
2020-04-03,washington,24043,0.07629999999999999,0.0302
2020-04-03,wicomico,24045,0,0.0232
2020-04-03,worcester,24047,0,0.0513
2020-04-04,allegany,24001,0.047599999999999996,0.0231
2020-04-04,anne_arundel,24003,0.1659,0.1603
2020-04-04,baltimore,24005,0.1158,0.1202
2020-04-04,baltimore_city,24510,0.19519999999999998,0.1638
2020-04-04,calvert,24009,0.15,0.1459
2020-04-04,caroline,24011,0,0.035699999999999996
2020-04-04,carroll,24013,0.0897,0.2349
2020-04-04,cecil,24015,0.22219999999999998,0.0599
2020-04-04,charles,24017,0.2029,0.1909
2020-04-04,dorchester,24019,0,0.011899999999999999
2020-04-04,frederick,24021,0.10880000000000001,0.0904
2020-04-04,garrett,24023,0,0
2020-04-04,harford,24025,0.0462,0.0788
2020-04-04,howard,24027,0.2095,0.17980000000000002
2020-04-04,kent,24029,0,0.1014
2020-04-04,montgomery,24031,0.1732,0.1804
2020-04-04,prince_georges,24033,0.3235,0.2884
2020-04-04,queen_annes,24035,0.0909,0.1096
2020-04-04,somerset,24039,0,0.1333
2020-04-04,st_marys,24037,0.1351,0.11380000000000001
2020-04-04,talbot,24041,0,0.07690000000000001
2020-04-04,washington,24043,0.11109999999999999,0.0436
2020-04-04,wicomico,24045,0.5,0.08039999999999999
2020-04-04,worcester,24047,0.1,0.06559999999999999
2020-04-05,allegany,24001,0.0857,0.0354
2020-04-05,anne_arundel,24003,0.1435,0.1602
2020-04-05,baltimore,24005,0.1343,0.12560000000000002
2020-04-05,baltimore_city,24510,0.2298,0.1815
2020-04-05,calvert,24009,0.1463,0.1464
2020-04-05,caroline,24011,0,0.023799999999999998
2020-04-05,carroll,24013,0.1471,0.2426
2020-04-05,cecil,24015,0.09759999999999999,0.0739
2020-04-05,charles,24017,0.1606,0.1852
2020-04-05,dorchester,24019,0,0.011899999999999999
2020-04-05,frederick,24021,0.1192,0.0973
2020-04-05,garrett,24023,0,0
2020-04-05,harford,24025,0.0755,0.0779
2020-04-05,howard,24027,0.24530000000000002,0.19699999999999998
2020-04-05,kent,24029,0,0.0776
2020-04-05,montgomery,24031,0.15289999999999998,0.1791
2020-04-05,prince_georges,24033,0.3411,0.3035
2020-04-05,queen_annes,24035,0,0.0987
2020-04-05,somerset,24039,0,0.1333
2020-04-05,st_marys,24037,0.1714,0.13449999999999998
2020-04-05,talbot,24041,0,0.0659
2020-04-05,washington,24043,0.0706,0.0537
2020-04-05,wicomico,24045,0.1739,0.1052
2020-04-05,worcester,24047,0.2,0.0942
2020-04-06,allegany,24001,0,0.0354
2020-04-06,anne_arundel,24003,0.22460000000000002,0.16820000000000002
2020-04-06,baltimore,24005,0.1501,0.1322
2020-04-06,baltimore_city,24510,0.223,0.19010000000000002
2020-04-06,calvert,24009,0.09519999999999999,0.1481
2020-04-06,caroline,24011,0.10529999999999999,0.015
2020-04-06,carroll,24013,0.1961,0.2662
2020-04-06,cecil,24015,0.0741,0.08449999999999999
2020-04-06,charles,24017,0.24,0.203
2020-04-06,dorchester,24019,0,0.011899999999999999
2020-04-06,frederick,24021,0.183,0.111
2020-04-06,garrett,24023,0,0
2020-04-06,harford,24025,0.07139999999999999,0.0816
2020-04-06,howard,24027,0.2419,0.1985
2020-04-06,kent,24029,0,0.0776
2020-04-06,montgomery,24031,0.2551,0.1902
2020-04-06,prince_georges,24033,0.3864,0.3153
2020-04-06,queen_annes,24035,0.2857,0.13949999999999999
2020-04-06,somerset,24039,0,0.16670000000000001
2020-04-06,st_marys,24037,0.15380000000000002,0.1564
2020-04-06,talbot,24041,0.16670000000000001,0.0897
2020-04-06,washington,24043,0.0968,0.0646
2020-04-06,wicomico,24045,0,0.1052
2020-04-06,worcester,24047,0.0833,0.0883
2020-04-07,allegany,24001,0.1,0.049699999999999994
2020-04-07,anne_arundel,24003,0.15,0.1721
2020-04-07,baltimore,24005,0.071,0.1175
2020-04-07,baltimore_city,24510,0.2651,0.2047
2020-04-07,calvert,24009,0.1,0.15439999999999998
2020-04-07,caroline,24011,0.23809999999999998,0.049100000000000005
2020-04-07,carroll,24013,0.2192,0.2245
2020-04-07,cecil,24015,0.1,0.0987
2020-04-07,charles,24017,0.2,0.2144
2020-04-07,dorchester,24019,0.1429,0.0323
2020-04-07,frederick,24021,0.11109999999999999,0.1189
2020-04-07,garrett,24023,0,0
2020-04-07,harford,24025,0.0816,0.0768
2020-04-07,howard,24027,0.20929999999999999,0.2139
2020-04-07,kent,24029,0.3,0.1204
2020-04-07,montgomery,24031,0.2615,0.20440000000000003
2020-04-07,prince_georges,24033,0.371,0.3319
2020-04-07,queen_annes,24035,0,0.13949999999999999
2020-04-07,somerset,24039,0,0.1333
2020-04-07,st_marys,24037,0.11900000000000001,0.15460000000000002
2020-04-07,talbot,24041,0,0.0897
2020-04-07,washington,24043,0.16670000000000001,0.085
2020-04-07,wicomico,24045,0.05,0.10339999999999999
2020-04-07,worcester,24047,0,0.0883
2020-04-08,allegany,24001,0,0.049699999999999994
2020-04-08,anne_arundel,24003,0.19870000000000002,0.18030000000000002
2020-04-08,baltimore,24005,0.139,0.12240000000000001
2020-04-08,baltimore_city,24510,0.1911,0.2095
2020-04-08,calvert,24009,0.2289,0.16190000000000002
2020-04-08,caroline,24011,0.0294,0.0533
2020-04-08,carroll,24013,0.1335,0.1641
2020-04-08,cecil,24015,0.0949,0.1059
2020-04-08,charles,24017,0.201,0.2167
2020-04-08,dorchester,24019,0,0.0204
2020-04-08,frederick,24021,0.1586,0.1358
2020-04-08,garrett,24023,0.07690000000000001,0.011000000000000001
2020-04-08,harford,24025,0.12240000000000001,0.0805
2020-04-08,howard,24027,0.2096,0.2148
2020-04-08,kent,24029,0.1905,0.1476
2020-04-08,montgomery,24031,0.2504,0.2157
2020-04-08,prince_georges,24033,0.3618,0.3406
2020-04-08,queen_annes,24035,0.0294,0.1119
2020-04-08,somerset,24039,0,0
2020-04-08,st_marys,24037,0.1026,0.1449
2020-04-08,talbot,24041,0.037000000000000005,0.0791
2020-04-08,washington,24043,0.11810000000000001,0.0969
