county,fips
allegany,24001
anne_arundel,24003
baltimore,24005
baltimore_city,24510
calvert,24009
caroline,24011
carroll,24013
cecil,24015
charles,24017
dorchester,24019
frederick,24021
garrett,24023
harford,24025
howard,24027
kent,24029
montgomery,24031
prince_georges,24033
queen_annes,24035
somerset,24039
st_marys,24037
talbot,24041
washington,24043
wicomico,24045
worcester,24047
unknown,NA
